,hh_key,hhincome_eq_percapita
976,10-575513,high
977,10-575533,low
978,10-575538,low
979,10-575555,low
980,10-575564,high
981,10-575576,medium
982,10-575583,low
983,10-575587,low
984,10-575589,low
985,10-577512,low
986,10-577516,high
987,10-577517,medium
988,10-577524,medium
989,10-577535,medium
990,10-577542,low
991,10-577557,high
992,10-577575,low
993,10-577578,low
994,10-577588,low
995,10-577593,low
996,10-578505,high
997,10-578508,low
998,10-578510,low
999,10-578539,medium
1000,10-578540,high
1001,10-579501,medium
1002,10-579502,low
1003,10-579504,medium
1004,10-579514,low
1005,10-580509,medium
1006,10-580512,low
1007,10-580519,medium
1008,10-580520,high
1009,10-580524,medium
1010,10-580526,high
1011,10-581503,low
1012,10-581517,low
1013,10-581533,low
1014,10-581541,medium
1015,10-581545,low
1016,10-582503,medium
1017,10-582526,medium
1018,10-582531,high
1019,10-582533,low
1020,10-582542,high
1021,10-582545,medium
1022,10-582547,high
1023,10-583511,high
1024,10-583520,low
1025,10-583533,low
1026,10-583534,low
1027,10-583544,low
1028,10-583546,high
1029,10-583548,low
1030,10-583550,low
1031,10-584506,low
1032,10-584510,high
1033,10-584518,medium
1034,10-584532,medium
1035,10-584533,medium
1036,10-584534,low
1037,10-585513,medium
1038,10-585515,high
1039,10-585517,medium
1040,10-585519,low
1041,10-585521,low
1042,10-585537,medium
1043,10-585543,high
1044,10-585544,high
1045,10-585548,low
1046,10-585556,medium
1047,10-586503,medium
1048,10-586518,high
1049,10-586519,high
1050,10-586529,low
1051,10-586530,high
1052,10-586536,low
1053,10-586548,low
1054,10-586549,high
1055,10-586553,medium
1056,10-586554,medium
1057,10-586555,high
1058,10-587501,high
1059,10-587510,high
1060,10-587519,high
1061,10-587521,high
1062,10-587523,high
1063,10-587525,high
1064,10-587540,high
1065,10-587546,high
1066,10-587556,high
1067,10-587558,high
1068,10-587562,high
1069,10-587563,low
1070,10-588504,medium
1071,10-588516,low
1072,10-588524,low
1073,10-588526,high
1074,10-588540,medium
1075,10-588544,high
1076,10-588546,low
1077,10-588548,low
1078,10-588549,high
1079,10-588558,low
1080,10-588559,low
1081,10-588562,high
1082,10-588563,medium
1083,10-589506,medium
1084,10-589517,medium
1085,10-589518,low
1086,10-589527,low
1087,10-589528,medium
1088,10-589533,low
1089,10-589539,medium
1090,10-589547,low
1091,10-589563,medium
1092,10-589566,medium
1093,10-589567,medium
1094,10-589568,low
1095,10-589582,high
1096,10-589586,medium
1097,10-590507,high
1098,10-590517,medium
1099,10-590548,high
1100,10-590557,low
1101,10-590562,high
1102,10-590563,low
1103,10-590570,high
1104,10-590576,medium
1105,10-590589,high
1106,10-590618,high
1107,10-590619,low
1108,10-590631,high
1109,10-590633,low
1110,10-590643,medium
1111,10-590646,high
1112,10-590650,high
1113,10-590652,medium
1114,10-590654,high
1115,10-590656,high
1116,10-590657,high
1117,10-590663,high
1118,10-594557,medium
1119,10-595503,high
1120,10-595516,high
1121,10-597507,medium
1122,10-597511,medium
1123,10-597521,low
1124,10-598503,low
1125,10-598522,low
1126,10-600502,high
1127,10-600508,low
1128,10-600520,high
1129,10-600527,medium
1130,10-601502,low
1131,10-601512,low
1132,10-602509,low
1133,10-602530,low
1134,10-602535,high
1135,10-603501,medium
1136,10-603503,low
1137,10-603514,medium
1138,10-603519,low
1139,10-603522,low
1140,10-604501,medium
1141,10-604505,low
1142,10-604510,medium
1143,10-604527,low
1144,10-604533,medium
1145,10-606528,medium
1146,10-607513,medium
1147,10-607517,medium
1148,10-607518,low
1149,10-607521,medium
1150,10-607524,low
1151,10-608514,low
1152,10-611518,medium
1153,10-611526,low
1154,10-611538,low
1155,10-611543,medium
1156,10-611544,low
1157,10-612503,low
1158,10-612504,medium
1159,10-612506,high
1160,10-612508,medium
1161,10-612518,high
1162,10-613508,high
1163,10-613510,low
1164,10-613517,medium
1165,10-613528,high
1166,10-613533,high
1167,10-613557,high
1168,10-614506,medium
1169,10-614512,low
1170,10-614515,low
1171,10-614520,medium
1172,10-614523,high
1173,10-614534,high
1174,10-614543,low
1175,10-614551,high
1176,10-615502,medium
1177,10-615509,high
1178,10-615510,high
1179,10-615525,medium
1180,10-615537,low
1181,10-616503,high
1182,10-616510,high
1183,10-616512,high
1184,10-616531,low
1185,10-616540,high
1186,10-616545,low
1187,10-616547,low
1188,10-616565,low
1189,10-618503,medium
1190,10-618508,high
1191,10-618543,high
1192,10-618544,medium
1193,10-618553,high
1194,10-618562,high
1195,10-618565,low
1196,10-619513,low
1197,10-619516,low
1198,10-619525,medium
1199,10-619539,low
1200,10-619541,low
1201,10-619544,low
1202,10-619553,low
1203,10-620503,high
1204,10-620505,medium
1205,10-620510,high
1206,10-620513,high
1207,10-620533,low
1208,10-620545,medium
1209,10-620557,medium
1210,10-620569,high
1211,10-621511,low
1212,10-621518,low
1213,10-621525,medium
1214,10-621543,medium
1215,10-621552,medium
1216,10-622502,medium
1217,10-622520,low
1218,10-622530,high
1219,10-622542,high
1220,10-622548,high
1221,10-622550,low
1222,10-622553,low
1223,10-622572,high
1224,10-623507,low
1225,10-623517,low
1226,10-623518,high
1227,10-623545,low
1228,10-623551,low
1229,10-623553,low
1230,10-623577,low
1231,10-624502,medium
1232,10-624533,medium
1233,10-624536,medium
1234,10-624541,medium
1235,10-624542,low
1236,10-624559,low
1237,10-624571,medium
1238,10-625504,medium
1239,10-625525,low
1240,10-625530,low
1241,10-625537,low
1242,10-625538,low
1243,10-625552,low
1244,10-625558,low
1245,10-626510,medium
1246,10-626519,high
1247,10-626524,medium
1248,10-626558,high
1249,10-626577,high
1250,10-626579,medium
1251,10-627512,medium
1252,10-627520,low
1253,10-627526,medium
1254,10-627528,high
1255,10-627529,medium
1256,10-627577,high
1257,10-627580,high
1258,10-627589,high
1259,10-627590,low
1260,10-627594,low
1261,10-628504,low
1262,10-628507,high
1263,10-628517,high
1264,10-628520,high
1265,10-628534,medium
1266,10-628539,low
1267,10-628544,medium
1268,10-628586,medium
1269,10-628588,low
1270,10-629522,high
1271,10-629526,high
1272,10-629534,high
1273,10-629541,high
1274,10-629545,high
1275,10-629547,medium
1276,10-629550,low
1277,10-629569,medium
1278,10-630525,high
1279,10-630556,medium
1280,10-630567,low
1281,10-630570,medium
1282,10-630574,high
1283,10-630584,high
1284,10-631509,low
1285,10-631511,low
1286,10-631535,medium
1287,10-631539,medium
1288,10-631542,medium
1289,10-631543,low
1290,10-631548,high
1291,10-632507,low
1292,10-632518,low
1293,10-632525,high
1294,10-632528,low
1295,10-632529,medium
1296,10-632543,low
1297,10-632563,low
1298,10-632565,low
1299,10-632567,low
1300,10-632568,low
1301,10-632576,low
1302,10-632586,high
1303,10-633509,medium
1304,10-633537,medium
1305,10-633540,medium
1306,10-633548,high
1307,10-633554,medium
1308,10-633562,medium
1309,10-633572,medium
